time,iID,jID,tau,correlation
41,2,7,9,0.7985744336920668
41,5,6,26,0.9500987573758076
41,5,10,17,0.9526361786175863
41,6,5,21,0.9331659167558574
41,6,10,22,0.8973705278877081
41,7,1,8,0.9482862048448796
41,7,2,1,0.9221755455250089
41,7,4,12,0.9310719533120597
41,7,11,5,0.8621644157466813
41,7,12,16,0.8628567968509897
41,8,9,16,0.9861229975734741
41,9,8,19,0.9319901664605207
41,10,2,26,0.7506873799708399
41,10,5,29,0.7689729428366198
41,10,6,8,0.8113982593613588
41,10,7,4,0.9139172412954784
41,11,1,13,0.7386397678823462
41,11,4,17,0.8501255996276665
41,11,7,20,0.9079725698244616
41,11,12,23,0.9246153112531091
41,12,1,5,0.8575828510643277
41,12,4,8,0.9629036953347706
41,12,7,28,0.9194555168684896
41,12,11,1,0.9640008506509772
42,1,11,14,0.7386801194983821
42,1,12,26,0.7645685990298158
42,2,7,9,0.7944998742865134
42,5,6,10,0.9459595667196867
42,5,7,5,0.7119473357496197
42,5,10,17,0.9504714158224256
42,6,5,21,0.9335076282607867
42,6,10,22,0.8949891448463907
42,7,1,8,0.9355105438876317
42,7,2,1,0.9426321251749515
42,7,4,11,0.927229937464064
42,7,11,4,0.8470547894687726
42,7,12,16,0.8601224111125563
42,8,9,16,0.987321027958271
42,9,8,19,0.924847038739829
42,10,2,26,0.7661605364921789
42,10,5,29,0.8611277901019138
42,10,6,8,0.8924538476254799
42,10,7,3,0.9233670823965022
42,11,1,13,0.7664581757199798
42,11,4,1,0.8654277100621844
42,11,7,21,0.9274382311048067
42,11,12,23,0.9288187331823368
42,12,1,5,0.8475809931705485
42,12,4,8,0.9654482481385189
42,12,7,28,0.919294858343549
42,12,11,1,0.9693178167175589
43,1,4,20,0.7689190741286741
43,1,7,24,0.733194852236925
43,1,11,14,0.7815913096043582
43,1,12,26,0.8202975217665186
43,2,7,9,0.7892345699725625
43,5,2,27,0.7129007771088369
43,5,6,10,0.9542727268050483
43,5,7,5,0.7927143813356278
43,5,10,17,0.9495323515230186
43,6,5,21,0.9335239195276472
43,6,10,22,0.8944163919906959
43,7,1,8,0.930211696195011
43,7,2,1,0.9463698486719533
43,7,4,11,0.9269625831474904
43,7,11,4,0.854265605907187
43,7,12,16,0.8557484905745477
43,8,9,16,0.9873805738118032
43,9,8,19,0.9122345288633514
43,10,2,26,0.762445583003803
43,10,5,29,0.9323631130708546
43,10,6,8,0.9470459501406756
43,10,7,3,0.9305563432555831
43,11,1,14,0.8031938864227106
43,11,4,1,0.8816027144818538
43,11,7,21,0.9401803857695439
43,11,12,23,0.9315080823076443
43,12,1,5,0.8354147157400315
43,12,4,8,0.9681719494431836
43,12,7,28,0.9193123815740589
43,12,11,1,0.9750188195262973
44,1,4,20,0.8292007028013192
44,1,7,24,0.7721388070745215
44,1,11,14,0.8052579219366603
44,1,12,26,0.8427423774122654
44,2,7,9,0.7807241826719762
44,4,12,18,0.7152410376071481
44,5,2,27,0.7412160424080663
44,5,6,10,0.9581648502339083
44,5,7,5,0.8529717579637667
44,5,10,17,0.9423705550732697
44,6,5,21,0.9281145089712252
44,6,10,22,0.8946245901359207
44,7,1,23,0.9286915965489606
44,7,2,1,0.9455407424219002
44,7,4,11,0.9301003094682291
44,7,11,4,0.8612375403387234
44,7,12,16,0.8516765503328174
44,8,9,16,0.9875827682221957
44,9,8,19,0.8938948393125391
44,10,2,26,0.7396289884766053
44,10,5,30,0.9593252906242711
44,10,6,8,0.9649033832904524
44,10,7,3,0.929870386228893
44,11,1,14,0.8377082111379787
44,11,4,1,0.8884315538704387
44,11,7,21,0.9078618362632053
44,11,12,23,0.9330455577880294
44,12,1,6,0.8434825941959749
44,12,4,8,0.9685369366516708
44,12,7,28,0.9161175832180565
44,12,10,1,0.7105522763367043
44,12,11,1,0.9778098994794598
45,1,4,21,0.8599382681491903
45,1,7,24,0.757833761339355
45,1,11,14,0.8049374590322788
45,1,12,26,0.8299014460147272
45,2,7,9,0.7667940716222355
45,4,11,6,0.7845692660938491
45,4,12,18,0.7912306171485519
45,5,2,27,0.7450918928184184
45,5,6,10,0.9584383476818366
45,5,7,5,0.894970756236926
45,5,10,17,0.928232326010908
45,6,5,22,0.9189750463877143
45,6,10,22,0.8943005338657143
45,7,1,23,0.9333901581071609
45,7,2,1,0.943515130701301
45,7,4,11,0.9352007139414378
45,7,11,4,0.8715109109262131
45,7,12,15,0.8538792328591059
45,8,9,16,0.9888689369158945
45,9,8,18,0.9016014760432581
45,10,2,26,0.7073233910243039
45,10,5,30,0.9672476307577499
45,10,6,8,0.9627326453002508
45,10,7,4,0.9345744280971638
45,11,1,14,0.8458821147303488
45,11,4,1,0.8911671437738145
45,11,7,21,0.8410350167530171
45,11,12,23,0.9349639067320349
45,12,1,6,0.8410864147668781
45,12,4,8,0.9727307139249947
45,12,7,28,0.9038764614641677
45,12,10,1,0.7825791193296039
45,12,11,1,0.9786504831357986
46,1,4,21,0.8561841998710262
46,1,11,14,0.7812663198551706
46,1,12,26,0.7999974911095865
46,2,6,30,0.7105721881041559
46,2,7,9,0.7464653360260183
46,4,1,11,0.7255453834540643
46,4,11,6,0.8743965174987549
46,4,12,18,0.8830768057165654
46,5,2,27,0.7221742975663189
46,5,6,10,0.9563629074813802
46,5,7,5,0.9287401974816938
46,5,10,17,0.8956157331851877
46,6,5,22,0.9219792553550138
46,6,10,22,0.8874303173646975
46,7,1,23,0.9379716622910085
46,7,2,1,0.9423148091948563
46,7,4,28,0.947835511591206
46,7,11,3,0.8924478892553354
46,7,12,15,0.8902511355695941
46,8,9,16,0.9894633686922457
46,9,8,18,0.905684172886142
46,10,5,30,0.9692269934468869
46,10,6,8,0.957386643379874
46,10,7,4,0.9415898938084197
46,11,1,15,0.8367602327476286
46,11,4,1,0.8944420904960666
46,11,7,21,0.7555267144327654
46,11,12,23,0.9384584282363009
46,12,1,6,0.8338995299378117
46,12,4,8,0.9759914163645804
46,12,7,29,0.8981880186938769
46,12,10,2,0.8424090367284526
46,12,11,1,0.9784103716114556
47,1,4,20,0.8409569648606914
47,1,11,14,0.7509915719372151
47,1,12,26,0.7722707169329363
47,2,5,21,0.7106847677469
47,2,6,30,0.7165871768562592
47,2,7,9,0.7251882168468304
47,4,1,11,0.8022903122369743
47,4,2,4,0.7567640833865232
47,4,11,6,0.9316029871668267
47,4,12,18,0.9448897804839282
47,5,6,10,0.953965389366835
47,5,7,5,0.9519534482944773
47,5,10,17,0.8327370518514998
47,6,5,22,0.9281511112468512
47,6,7,10,0.7238789924401385
47,6,10,22,0.8748826470439139
47,7,1,23,0.9404517410414964
47,7,2,1,0.9436126858733578
47,7,4,28,0.9632381833937868
47,7,10,3,0.7316500896443008
47,7,11,3,0.9172720856445619
47,7,12,15,0.9109644731218822
47,8,9,16,0.989986413366542
47,9,8,18,0.9059947965071861
47,10,5,30,0.9623415357230733
47,10,6,9,0.9413432315436827
47,10,7,4,0.9218331851630671
47,11,1,15,0.8351893050267601
47,11,2,8,0.7051453126622069
47,11,4,1,0.8980300531782808
47,11,12,23,0.9424451767792458
47,12,1,6,0.8298454787246831
47,12,4,8,0.9756950921612523
47,12,7,29,0.9084146831809512
47,12,10,2,0.8772429835525424
47,12,11,1,0.9762691062141349
48,1,2,9,0.7030616247750123
48,1,4,20,0.8463476297854817
48,1,11,14,0.7251949098231414
48,1,12,25,0.7582561502756272
48,2,5,21,0.7152236569423038
48,2,6,30,0.7013398673776129
48,4,1,11,0.8640373691509782
48,4,2,4,0.8254509138008139
48,4,11,6,0.9497766149156244
48,4,12,18,0.9607744593553098
48,5,6,10,0.9531590410738223
48,5,7,5,0.959293723867319
48,5,10,31,0.8315420613996741
48,6,5,22,0.9376328326167832
48,6,7,10,0.7872018587744297
48,6,10,22,0.8609363927671277
48,7,1,23,0.9377554024244659
48,7,2,2,0.9516455297655636
48,7,4,28,0.9660728220465079
48,7,10,3,0.8027623558830199
48,7,11,3,0.9265752860099163
48,7,12,15,0.9149706155994087
48,8,9,16,0.9904230494468207
48,9,8,18,0.9066561959807918
48,10,5,30,0.9338227027060475
48,10,6,9,0.9277851756726209
48,10,7,4,0.8750391931584961
48,11,1,15,0.8062074998827746
48,11,2,8,0.7131732489305164
48,11,4,1,0.90073006894734
48,11,12,23,0.9440110756125394
48,12,1,6,0.8343718572406965
48,12,2,1,0.7249989372662907
48,12,4,8,0.9771630713861202
48,12,7,29,0.9220092542920317
48,12,10,2,0.8666547495263667
48,12,11,1,0.9708216957043001
49,1,2,9,0.7928012340730901
49,1,4,20,0.8329036497375594
49,1,11,13,0.703373712267801
49,1,12,25,0.7321468423138174
49,4,1,11,0.8917604064220289
49,4,2,4,0.8745653570019052
49,4,11,6,0.9505032419326552
49,4,12,18,0.9596190960106813
49,5,6,10,0.9523392874948341
49,5,7,5,0.9582880680634435
49,5,10,31,0.8326180920488093
49,6,5,22,0.943113360684288
49,6,7,10,0.8279277805450695
49,6,10,22,0.8557157955056416
49,7,1,23,0.9351321988075544
49,7,2,2,0.9619787631598254
49,7,4,28,0.9668338343072481
49,7,10,4,0.8735180097342861
49,7,11,3,0.9295587787233286
49,7,12,15,0.908825949751689
49,8,9,16,0.9917580528918997
49,9,8,18,0.910032757674755
49,10,5,30,0.9021032761326824
49,10,6,24,0.916857993518477
49,10,7,4,0.8344325574393178
49,11,1,15,0.7617878258814095
49,11,4,1,0.9016396003713961
49,11,12,23,0.9383523891524751
49,12,1,6,0.846865181463286
49,12,2,1,0.7764692997811053
49,12,4,8,0.9757319130460135
49,12,7,29,0.9333043437763532
49,12,10,2,0.8426640600326891
49,12,11,19,0.9652251506724684
50,1,2,9,0.8622023698305652
50,1,4,20,0.8059527823123626
50,4,1,11,0.889797765448386
50,4,2,4,0.8985373426026105
50,4,10,7,0.7079002720074266
50,4,11,6,0.9520224587957573
50,4,12,18,0.9590580470753197
50,5,2,28,0.7234233242851426
50,5,6,10,0.951668988716384
50,5,7,5,0.9578682670462249
50,5,10,31,0.8391018319141594
50,6,5,22,0.944352128492547
50,6,7,10,0.8573850136877935
50,6,10,22,0.8496150419708721
50,7,1,23,0.927002473801502
50,7,2,2,0.9618802440894682
50,7,4,28,0.9622343319255923
50,7,10,4,0.8913447580790868
50,7,11,21,0.9480076817910269
50,7,12,15,0.8990813843720792
50,8,9,16,0.9912830000087214
50,9,8,18,0.9170062636600975
50,10,5,30,0.8926727812052361
50,10,6,24,0.9146816439963972
50,10,7,4,0.8230210792240877
50,11,1,1,0.7687154635342681
50,11,4,1,0.9044175073200222
50,11,12,24,0.93591570783344
50,12,1,7,0.8733348181054894
50,12,2,1,0.824196717735636
50,12,4,8,0.9735640350824584
50,12,7,29,0.9342183427996505
50,12,10,2,0.8248279319597748
50,12,11,19,0.9667992135142838
51,1,2,9,0.8948887057344775
51,1,4,20,0.7786645346266197
51,4,1,11,0.8845104663440997
51,4,2,5,0.9284914746712893
51,4,10,7,0.7985463335004546
51,4,11,6,0.9539469158531423
51,4,12,18,0.9568444936714613
51,5,2,28,0.7782752891584104
51,5,6,10,0.952292690989729
51,5,7,5,0.957226351567259
51,5,10,31,0.8432037836655437
51,6,5,22,0.9434385209649055
51,6,7,10,0.8822544956362625
51,6,10,22,0.8195147404986142
51,7,1,23,0.9019684675517867
51,7,2,2,0.9459767503096278
51,7,4,28,0.9438997507330862
51,7,10,4,0.858478939290458
51,7,11,21,0.9591316515225665
51,7,12,15,0.8893757389898062
51,8,9,16,0.9893363831555232
51,9,8,17,0.9201331500098203
51,10,5,30,0.8887621669644277
51,10,6,24,0.9118450637322717
51,10,7,4,0.8212972958292766
51,11,1,1,0.7763558249083639
51,11,4,1,0.9084078503820501
51,11,12,24,0.9433132477965953
51,12,1,22,0.9113040361733108
